                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.81186,                0.52694,                 1.0202,                      1,                0.99206,                  0.995,                0.60888,                  1.319,                 0.6654,                  1.731,              0.0014159,              0.0014159,              0.0014159
                     61,                0.93654,                0.61048,                 1.0767,                      1,                0.99725,                  0.995,                0.69082,                 1.2644,                0.63042,                 1.5791,               0.001406,               0.001406,               0.001406
                     62,                0.90358,                0.54992,                 1.0685,                      1,                0.99725,                  0.995,                0.69082,                 1.2644,                0.63042,                 1.5791,              0.0013961,              0.0013961,              0.0013961
                     63,                0.93853,                0.59764,                 1.1747,                      1,                0.99174,                  0.995,                0.62937,                 1.1944,                0.72795,                  1.548,              0.0013862,              0.0013862,              0.0013862
                     64,                0.82137,                0.53202,                 1.0978,                      1,                0.99174,                  0.995,                0.62937,                 1.1944,                0.72795,                  1.548,              0.0013763,              0.0013763,              0.0013763
                     65,                0.87162,                0.61735,                 1.1666,                      1,                0.99251,                  0.995,                0.58756,                 1.3276,                 0.7142,                 1.8236,              0.0013664,              0.0013664,              0.0013664
                     66,                0.90211,                0.61254,                 1.2707,                      1,                0.99251,                  0.995,                0.58756,                 1.3276,                 0.7142,                 1.8236,              0.0013565,              0.0013565,              0.0013565
                     67,                0.87459,                0.60658,                 1.2152,                0.98668,                  0.875,                  0.971,                0.60325,                 1.2707,                0.73409,                  1.711,              0.0013466,              0.0013466,              0.0013466
                     68,                0.87491,                0.61367,                  1.192,                0.98668,                  0.875,                  0.971,                0.60325,                 1.2707,                0.73409,                  1.711,              0.0013367,              0.0013367,              0.0013367
                     69,                0.81354,                0.58776,                 1.1758,                0.88772,                 0.9895,                0.98167,                0.59567,                 1.1877,                0.67575,                 1.5888,              0.0013268,              0.0013268,              0.0013268
                     70,                0.85283,                0.67651,                  1.216,                0.88772,                 0.9895,                0.98167,                0.59567,                 1.1877,                0.67575,                 1.5888,              0.0013169,              0.0013169,              0.0013169
                     71,                0.84056,                0.56152,                 1.1638,                0.86188,                  0.875,                0.94602,                0.46516,                 1.5252,                0.85282,                 2.0014,               0.001307,               0.001307,               0.001307
                     72,                0.81038,                0.54393,                 1.1083,                0.86188,                  0.875,                0.94602,                0.46516,                 1.5252,                0.85282,                 2.0014,              0.0012971,              0.0012971,              0.0012971
                     73,                0.71163,                0.55782,                 1.0304,                0.94251,                  0.875,                  0.935,                0.47796,                 1.5432,                 0.9029,                 2.1237,              0.0012872,              0.0012872,              0.0012872
                     74,                0.70343,                 0.4399,                 1.0139,                0.94251,                  0.875,                  0.935,                0.47796,                 1.5432,                 0.9029,                 2.1237,              0.0012773,              0.0012773,              0.0012773
                     75,                0.91535,                0.65222,                 1.3752,                 0.9369,                  0.875,                0.92833,                0.50409,                 1.5438,                0.98558,                  2.038,              0.0012674,              0.0012674,              0.0012674
                     76,                0.84817,                0.61804,                 1.2262,                 0.9369,                  0.875,                0.92833,                0.50409,                 1.5438,                0.98558,                  2.038,              0.0012575,              0.0012575,              0.0012575
                     77,                0.81619,                0.54638,                 1.0953,                0.96692,                  0.875,                0.94885,                0.58233,                 1.3786,                0.89202,                 1.7419,              0.0012476,              0.0012476,              0.0012476
                     78,                0.83786,                0.52889,                 1.1192,                0.96692,                  0.875,                0.94885,                0.58233,                 1.3786,                0.89202,                 1.7419,              0.0012377,              0.0012377,              0.0012377
                     79,                0.92218,                0.57189,                 1.2135,                0.92919,                  0.875,                0.92071,                0.55838,                 1.3792,                0.86258,                 1.6721,              0.0012278,              0.0012278,              0.0012278
                     80,                 0.8695,                0.58293,                 1.2094,                0.92919,                  0.875,                0.92071,                0.55838,                 1.3792,                0.86258,                 1.6721,              0.0012179,              0.0012179,              0.0012179
                     81,                0.79519,                0.54955,                 1.1408,                0.92388,                  0.875,                 0.8942,                0.47921,                 1.6152,                 1.0121,                 1.9698,               0.001208,               0.001208,               0.001208
                     82,                0.87846,                0.49414,                 1.1266,                0.92388,                  0.875,                 0.8942,                0.47921,                 1.6152,                 1.0121,                 1.9698,              0.0011981,              0.0011981,              0.0011981
                     83,                0.73054,                0.50939,                 1.0416,                      1,                0.85852,                0.89155,                0.44715,                  1.793,                 1.1432,                 2.2673,              0.0011882,              0.0011882,              0.0011882
                     84,                0.83913,                0.60741,                 1.1615,                      1,                0.85852,                0.89155,                0.44715,                  1.793,                 1.1432,                 2.2673,              0.0011783,              0.0011783,              0.0011783
                     85,                0.85412,                0.63786,                 1.1634,                      1,                0.83432,                  0.955,                0.45995,                 1.7975,                 1.0088,                 2.2685,              0.0011684,              0.0011684,              0.0011684
                     86,                0.95412,                0.60656,                 1.1482,                      1,                0.83432,                  0.955,                0.45995,                 1.7975,                 1.0088,                 2.2685,              0.0011585,              0.0011585,              0.0011585
                     87,                0.87521,                0.62339,                 1.1846,                0.96581,                  0.875,                  0.971,                0.52167,                 1.5415,                0.76373,                 1.8767,              0.0011486,              0.0011486,              0.0011486
                     88,                0.78304,                0.52383,                 1.0752,                0.96581,                  0.875,                  0.971,                0.52167,                 1.5415,                0.76373,                 1.8767,              0.0011387,              0.0011387,              0.0011387
                     89,                0.84303,                0.51165,                 1.0868,                0.88193,                      1,                0.98167,                0.54632,                 1.4077,                0.63271,                 1.7617,              0.0011288,              0.0011288,              0.0011288
                     90,                0.83237,                 0.5788,                 1.1316,                0.88193,                      1,                0.98167,                0.54632,                 1.4077,                0.63271,                 1.7617,              0.0011189,              0.0011189,              0.0011189
                     91,                0.86125,                0.60967,                 1.1722,                0.88883,                      1,                0.98167,                 0.5473,                 1.3546,                0.65647,                 1.8497,               0.001109,               0.001109,               0.001109
                     92,                0.95651,                0.57775,                 1.3125,                0.88883,                      1,                0.98167,                 0.5473,                 1.3546,                0.65647,                 1.8497,              0.0010991,              0.0010991,              0.0010991
                     93,                0.85164,                0.58742,                 1.2165,                   0.99,                  0.875,                0.98167,                0.57441,                 1.4772,                0.71859,                 1.8579,              0.0010892,              0.0010892,              0.0010892
